"","country","year","vector","popvector","aidvector","percIN","percOUT","percGIVEN","percRECEIVED","percINVEST"
"161","Brazil",1995,"43",3,4,0.0483898951611051,0.116197313295107,0,3.17585685206301,12.2444856134316
"162","Barbados",1995,"11",1,1,1.00354013028283,1.72402080298307,0,17.0278706302381,3.22502638842051
"163","Bhutan",1995,"11",1,1,3.83142364761435,3.80312715539687,0,106.074133251692,0
"164","Botswana",1995,"11",1,1,1.64100410393766,0.0845021636233411,0,16.1139050156533,7.89958158927304
"165","Central African Republic",1995,"11",1,1,0.485574847714519,0.147399155834812,0,73.9524404331185,2.86008602071049
"166","Canada",1995,"41",1,4,3.48403624718948,0.988345710976358,1.71745929857658,0.0139917978995215,12.9146126694919
"167","Switzerland",1995,"41",1,4,2.36606172096558,1.44058385211557,1.76585956522606,0,11.0933474419922
"168","Chile",1995,"11",1,1,0.428773143780753,0.00890517998256445,0,6.60369602258229,37.0457543190198
"169","China",1995,"42",2,4,0.00903295417290877,0.0757613156769902,0,6.71877671248842,27.6047582265377
"170","Cameroon",1995,"11",1,1,0.204737043305341,0.20788143213271,0,51.6771697981469,4.42624733429373
"171","Colombia",1995,"14",4,1,0.0504300253351986,0.454484511769944,0,9.53280442340723,15.1112374186881
"172","Comoros",1995,"11",1,1,0.317782031553003,1.5745223886199,0,144.136431467821,0.89468527035186
"173","Costa Rica",1995,"11",1,1,4.19032021475822,0.561532929356224,0,20.4418300679424,20.8848301110758
"174","Cuba",1995,"11",1,1,0.00101778389385413,1.43119670846855,0,0.146983416365909,0
"175","Cyprus",1995,"11",1,1,6.22897886224864,0.00222121163587561,0,2.45573565158437,22.203185380727
"176","Czech Republic",1995,"11",1,1,0.722437999727517,0.37786427813863,0,8.33039722995605,25.7017878971416
"177","Germany",1995,"34",4,3,1.85926694063745,0.832481911205252,2.06536656616714,0,4.27352717670041
"178","Djibouti",1995,"11",1,1,4.53790487024185,0,0,102.369890811788,3.20837478520394
"179","Denmark",1995,"11",1,1,1.8491706973686,0.424984039929888,2.70416191033231,0,16.8788889184887
"180","Dominican Republic",1995,"11",1,1,0.781610710023035,2.55185355062199,0,11.891455273461,18.1495901425711
"181","Algeria",1995,"11",1,1,0.0728715104673007,0.559352760661908,0,28.5079075073166,0
"182","Ecuador",1995,"11",1,1,0.0217209343305792,2.21067540655296,0,18.3598909519183,13.0745921856028
"183","Eritrea",1995,"11",1,1,0.121456530224282,0.402864010088193,0,102.224174995269,0
"184","Spain",1995,"44",4,4,2.01241565248256,0.00937970826237506,0.811334072346709,0,9.69942578659743
"185","Estonia",1995,"11",1,1,0.124318371972263,2.67068717571768,0,13.4477983838947,34.3795299039864
"186","Ethiopia",1995,"14",4,1,0.692374574546991,1.17708534651906,0,65.9152601266708,8.54920823750338
"187","Finland",1995,"11",1,1,0.97836833542491,0.596187392198975,1.77461747079508,0,15.6250092156837
"188","Fiji",1995,"11",1,1,0.101870024165117,5.55397950736172,0,13.2774565228121,8.1889954202605
"189","France",1995,"34",4,3,1.03145348065816,0.716856532962502,1.32647067740489,0,8.9609353908849
"190","Gabon",1995,"11",1,1,3.36785251769756,2.04703580195665,0,37.8854811680102,-22.6847185398653
"191","United Kingdom",1995,"34",4,3,1.45422631160845,0.714427662785814,0.83843473659911,0.00215820914563626,18.9823654545536
"192","Georgia",1995,"11",1,1,0,8.24055766793409,0,17.5457352667781,0
"193","Ghana",1995,"11",1,1,0.162078721956238,0.470712024127929,0,87.5520051444586,11.1273733503619
"194","Guinea",1995,"11",1,1,1.07188918067621,3.96268208463579,0,55.9693860104476,3.33282746211203
"195","Guinea-Bissau",1995,"11",1,1,0.432898599938859,2.13095860110748,0,304.292220098219,6.96434153864995
"196","Equatorial Guinea",1995,"11",1,1,4.45674187878626,0,0,197.618717443836,694.816348637418
"197","Greece",1995,"11",1,1,3.23442578421275,0.391965539601632,0,0.221665465008139,0
"198","Grenada",1995,"11",1,1,0.799976060566766,6.3070431807527,0,50.9788056836462,58.1541554959786
